"标题"	"目录"	"年鉴页码"	"编号"	"年鉴年份"	"CAJ"	"PDF"	"EXCEL"	"id"
"各地区受灾和成灾面积"	"八、农村生产条件"	"243-247"	"N2005120871000124"	"1987"	"yearbooks/N2005120871000124.caj"	"yearbooks/N2005120871000124.pdf"	"yearbooks/N2005120871000124.xls"	"129"
"九、农村文化、教育、卫生、社会福利和其他事业"	"九、农村文化、教育、卫生、社会福利和其他事业"	"249-286"	"N2005120871000125"	"1987"	"yearbooks/N2005120871000125.caj"	"yearbooks/N2005120871000125.pdf"		"130"
"农村文化事业机构"	"九、农村文化、教育、卫生、社会福利和其他事业"	"251"	"N2005120871000126"	"1987"	"yearbooks/N2005120871000126.caj"	"yearbooks/N2005120871000126.pdf"	"yearbooks/N2005120871000126.xls"	"131"
"艺术表演团体到农村演出情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"252"	"N2005120871000127"	"1987"	"yearbooks/N2005120871000127.caj"	"yearbooks/N2005120871000127.pdf"	"yearbooks/N2005120871000127.xls"	"132"
"各地区农村集镇文化中心、文化专业户"	"九、农村文化、教育、卫生、社会福利和其他事业"	"253"	"N2005120871000128"	"1987"	"yearbooks/N2005120871000128.caj"	"yearbooks/N2005120871000128.pdf"	"yearbooks/N2005120871000128.xls"	"133"
"各地区艺术表演团体到农村演出情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"254"	"N2005120871000129"	"1987"	"yearbooks/N2005120871000129.caj"	"yearbooks/N2005120871000129.pdf"	"yearbooks/N2005120871000129.xls"	"134"
"农村普通中学和小学的学生、教师数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"255"	"N2005120871000130"	"1987"	"yearbooks/N2005120871000130.caj"	"yearbooks/N2005120871000130.pdf"	"yearbooks/N2005120871000130.xls"	"135"
"农民成人教育基本情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"256-258"	"N2005120871000131"	"1987"	"yearbooks/N2005120871000131.caj"	"yearbooks/N2005120871000131.pdf"	"yearbooks/N2005120871000131.xls"	"136"
"农村农业职业中学基本情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"259"	"N2005120871000132"	"1987"	"yearbooks/N2005120871000132.caj"	"yearbooks/N2005120871000132.pdf"	"yearbooks/N2005120871000132.xls"	"137"
"乡卫生院、床位数和卫生人员数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"260"	"N2005120871000133"	"1987"	"yearbooks/N2005120871000133.caj"	"yearbooks/N2005120871000133.pdf"	"yearbooks/N2005120871000133.xls"	"138"
"农村集体所有制卫生院、床位数和卫生人员数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"260"	"N2005120871000134"	"1987"	"yearbooks/N2005120871000134.caj"	"yearbooks/N2005120871000134.pdf"	"yearbooks/N2005120871000134.xls"	"139"
"乡卫生院卫生人员分类"	"九、农村文化、教育、卫生、社会福利和其他事业"	"261"	"N2005120871000135"	"1987"	"yearbooks/N2005120871000135.caj"	"yearbooks/N2005120871000135.pdf"	"yearbooks/N2005120871000135.xls"	"140"
"农村个体开业卫生技术人员数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"262"	"N2005120871000136"	"1987"	"yearbooks/N2005120871000136.caj"	"yearbooks/N2005120871000136.pdf"	"yearbooks/N2005120871000136.xls"	"141"
"各地区乡卫生院、床位数和卫生人员数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"263"	"N2005120871000137"	"1987"	"yearbooks/N2005120871000137.caj"	"yearbooks/N2005120871000137.pdf"	"yearbooks/N2005120871000137.xls"	"142"
"各地区农村村级医疗组织形式"	"九、农村文化、教育、卫生、社会福利和其他事业"	"264"	"N2005120871000138"	"1987"	"yearbooks/N2005120871000138.caj"	"yearbooks/N2005120871000138.pdf"	"yearbooks/N2005120871000138.xls"	"143"
"各地区农村乡村医生和卫生员、接生员人数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"265"	"N2005120871000139"	"1987"	"yearbooks/N2005120871000139.caj"	"yearbooks/N2005120871000139.pdf"	"yearbooks/N2005120871000139.xls"	"144"
"农村五保户集体供给情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"266"	"N2005120871000140"	"1987"	"yearbooks/N2005120871000140.caj"	"yearbooks/N2005120871000140.pdf"	"yearbooks/N2005120871000140.xls"	"145"
"各地区农村五保人数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"267"	"N2005120871000141"	"1987"	"yearbooks/N2005120871000141.caj"	"yearbooks/N2005120871000141.pdf"	"yearbooks/N2005120871000141.xls"	"146"
"各地区农村五保户集体供给情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"268"	"N2005120871000142"	"1987"	"yearbooks/N2005120871000142.caj"	"yearbooks/N2005120871000142.pdf"	"yearbooks/N2005120871000142.xls"	"147"
"农村集体办敬老院发展情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"269"	"N2005120871000143"	"1987"	"yearbooks/N2005120871000143.caj"	"yearbooks/N2005120871000143.pdf"	"yearbooks/N2005120871000143.xls"	"148"
"各地区农村集体办敬老院发展情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"270-271"	"N2005120871000144"	"1987"	"yearbooks/N2005120871000144.caj"	"yearbooks/N2005120871000144.pdf"	"yearbooks/N2005120871000144.xls"	"149"
"农村扶持贫困户情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"272"	"N2005120871000145"	"1987"	"yearbooks/N2005120871000145.caj"	"yearbooks/N2005120871000145.pdf"	"yearbooks/N2005120871000145.xls"	"150"
"各地区农村扶持贫困户情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"273"	"N2005120871000146"	"1987"	"yearbooks/N2005120871000146.caj"	"yearbooks/N2005120871000146.pdf"	"yearbooks/N2005120871000146.xls"	"151"
"农村社会救济费和自然灾害救济费"	"九、农村文化、教育、卫生、社会福利和其他事业"	"274"	"N2005120871000147"	"1987"	"yearbooks/N2005120871000147.caj"	"yearbooks/N2005120871000147.pdf"	"yearbooks/N2005120871000147.xls"	"152"
"各地区自然灾害救济费"	"九、农村文化、教育、卫生、社会福利和其他事业"	"276"	"N2005120871000148"	"1987"	"yearbooks/N2005120871000148.caj"	"yearbooks/N2005120871000148.pdf"	"yearbooks/N2005120871000148.xls"	"154"
"农村邮电设施"	"九、农村文化、教育、卫生、社会福利和其他事业"	"277"	"N2005120871000149"	"1987"	"yearbooks/N2005120871000149.caj"	"yearbooks/N2005120871000149.pdf"	"yearbooks/N2005120871000149.xls"	"155"
"各地区农村邮电设施"	"九、农村文化、教育、卫生、社会福利和其他事业"	"278-280"	"N2005120871000150"	"1987"	"yearbooks/N2005120871000150.caj"	"yearbooks/N2005120871000150.pdf"	"yearbooks/N2005120871000150.xls"	"156"
"各地区农村报刊期发数"	"九、农村文化、教育、卫生、社会福利和其他事业"	"281"	"N2005120871000151"	"1987"	"yearbooks/N2005120871000151.caj"	"yearbooks/N2005120871000151.pdf"	"yearbooks/N2005120871000151.xls"	"157"
"农村有线广播普及情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"282"	"N2005120871000152"	"1987"	"yearbooks/N2005120871000152.caj"	"yearbooks/N2005120871000152.pdf"	"yearbooks/N2005120871000152.xls"	"158"
"农村有线厂播专用线路"	"九、农村文化、教育、卫生、社会福利和其他事业"	"283"	"N2005120871000153"	"1987"	"yearbooks/N2005120871000153.caj"	"yearbooks/N2005120871000153.pdf"	"yearbooks/N2005120871000153.xls"	"159"
"各地区农村有线广播普及情况"	"九、农村文化、教育、卫生、社会福利和其他事业"	"284-286"	"N2005120871000154"	"1987"	"yearbooks/N2005120871000154.caj"	"yearbooks/N2005120871000154.pdf"	"yearbooks/N2005120871000154.xls"	"160"
"十、各地区主要经济指标排序与分组"	"十、各地区主要经济指标排序与分组"	"287-304"	"N2005120871000155"	"1987"	"yearbooks/N2005120871000155.caj"	"yearbooks/N2005120871000155.pdf"		"161"
"农村社会总产值"	"十、各地区主要经济指标排序与分组"	"289"	"N2005120871000156"	"1987"	"yearbooks/N2005120871000156.caj"	"yearbooks/N2005120871000156.pdf"	"yearbooks/N2005120871000156.xls"	"162"
"农业总产值"	"十、各地区主要经济指标排序与分组"	"290"	"N2005120871000157"	"1987"	"yearbooks/N2005120871000157.caj"	"yearbooks/N2005120871000157.pdf"	"yearbooks/N2005120871000157.xls"	"163"
"农民人均纯收入"	"十、各地区主要经济指标排序与分组"	"291"	"N2005120871000158"	"1987"	"yearbooks/N2005120871000158.caj"	"yearbooks/N2005120871000158.pdf"	"yearbooks/N2005120871000158.xls"	"164"
"粮食产量"	"十、各地区主要经济指标排序与分组"	"292"	"N2005120871000159"	"1987"	"yearbooks/N2005120871000159.caj"	"yearbooks/N2005120871000159.pdf"	"yearbooks/N2005120871000159.xls"	"165"
"人均占有粮食产量"	"十、各地区主要经济指标排序与分组"	"293"	"N2005120871000160"	"1987"	"yearbooks/N2005120871000160.caj"	"yearbooks/N2005120871000160.pdf"	"yearbooks/N2005120871000160.xls"	"166"
"油料总产量"	"十、各地区主要经济指标排序与分组"	"294"	"N2005120871000161"	"1987"	"yearbooks/N2005120871000161.caj"	"yearbooks/N2005120871000161.pdf"	"yearbooks/N2005120871000161.xls"	"167"
"糖料总产量"	"十、各地区主要经济指标排序与分组"	"295"	"N2005120871000162"	"1987"	"yearbooks/N2005120871000162.caj"	"yearbooks/N2005120871000162.pdf"	"yearbooks/N2005120871000162.xls"	"168"
"大牲畜年末头数"	"十、各地区主要经济指标排序与分组"	"296"	"N2005120871000163"	"1987"	"yearbooks/N2005120871000163.caj"	"yearbooks/N2005120871000163.pdf"	"yearbooks/N2005120871000163.xls"	"169"
"猪、牛、羊肉产量"	"十、各地区主要经济指标排序与分组"	"297"	"N2005120871000164"	"1987"	"yearbooks/N2005120871000164.caj"	"yearbooks/N2005120871000164.pdf"	"yearbooks/N2005120871000164.xls"	"170"
"人均占有猪牛羊肉"	"十、各地区主要经济指标排序与分组"	"298"	"N2005120871000165"	"1987"	"yearbooks/N2005120871000165.caj"	"yearbooks/N2005120871000165.pdf"	"yearbooks/N2005120871000165.xls"	"171"
"水产品产量"	"十、各地区主要经济指标排序与分组"	"299"	"N2005120871000166"	"1987"	"yearbooks/N2005120871000166.caj"	"yearbooks/N2005120871000166.pdf"	"yearbooks/N2005120871000166.xls"	"172"
"各地区主要经济指标按人均纯收入分组"	"十、各地区主要经济指标排序与分组"	"300-304"	"N2005120871000167"	"1987"	"yearbooks/N2005120871000167.caj"	"yearbooks/N2005120871000167.pdf"	"yearbooks/N2005120871000167.xls"	"173"
"十一、分县主要指标排序和分组资料"	"十一、分县主要指标排序和分组资料"	"305-336"	"N2005120871000168"	"1987"	"yearbooks/N2005120871000168.caj"	"yearbooks/N2005120871000168.pdf"		"174"
"农村社会总产值8亿元以上县排序资料"	"十一、分县主要指标排序和分组资料"	"307-308"	"N2005120871000169"	"1987"	"yearbooks/N2005120871000169.caj"	"yearbooks/N2005120871000169.pdf"	"yearbooks/N2005120871000169.xls"	"175"
"农业总产值4亿元以上县排序资料"	"十一、分县主要指标排序和分组资料"	"309"	"N2005120871000170"	"1987"	"yearbooks/N2005120871000170.caj"	"yearbooks/N2005120871000170.pdf"	"yearbooks/N2005120871000170.xls"	"176"
"粮食总产量40万吨以上县排序资料"	"十一、分县主要指标排序和分组资料"	"310-312"	"N2005120871000171"	"1987"	"yearbooks/N2005120871000171.caj"	"yearbooks/N2005120871000171.pdf"	"yearbooks/N2005120871000171.xls"	"177"
"油料产量2．5万吨以上县排序资料"	"十一、分县主要指标排序和分组资料"	"313-314"	"N2005120871000172"	"1987"	"yearbooks/N2005120871000172.caj"	"yearbooks/N2005120871000172.pdf"	"yearbooks/N2005120871000172.xls"	"178"
"糖料产量15万吨以上县排序资料"	"十一、分县主要指标排序和分组资料"	"315-316"	"N2005120871000173"	"1987"	"yearbooks/N2005120871000173.caj"	"yearbooks/N2005120871000173.pdf"	"yearbooks/N2005120871000173.xls"	"179"
"大牲畜年末存栏15万头以上县排序资料"	"十一、分县主要指标排序和分组资料"	"317-318"	"N2005120871000174"	"1987"	"yearbooks/N2005120871000174.caj"	"yearbooks/N2005120871000174.pdf"	"yearbooks/N2005120871000174.xls"	"180"
"肉猪出栏30万头以上县排序资料"	"十一、分县主要指标排序和分组资料"	"319-321"	"N2005120871000175"	"1987"	"yearbooks/N2005120871000175.caj"	"yearbooks/N2005120871000175.pdf"	"yearbooks/N2005120871000175.xls"	"181"
"猪牛羊肉产量2万吨以上县排序资料"	"十一、分县主要指标排序和分组资料"	"322-324"	"N2005120871000176"	"1987"	"yearbooks/N2005120871000176.caj"	"yearbooks/N2005120871000176.pdf"	"yearbooks/N2005120871000176.xls"	"182"
"水产品产量2．5万吨以上县排序资料"	"十一、分县主要指标排序和分组资料"	"325"	"N2005120871000177"	"1987"	"yearbooks/N2005120871000177.caj"	"yearbooks/N2005120871000177.pdf"	"yearbooks/N2005120871000177.xls"	"183"
"十四个沿海开放城市分县基本情况"	"十一、分县主要指标排序和分组资料"	"328-331"	"N2005120871000178"	"1987"	"yearbooks/N2005120871000178.caj"	"yearbooks/N2005120871000178.pdf"	"yearbooks/N2005120871000178.xls"	"185"
"119个牧区县基本情况"	"十一、分县主要指标排序和分组资料"	"332-335"	"N2005120871000179"	"1987"	"yearbooks/N2005120871000179.caj"	"yearbooks/N2005120871000179.pdf"	"yearbooks/N2005120871000179.xls"	"186"
"山区、丘陵、平原县基本情况汇总表"	"十一、分县主要指标排序和分组资料"	"336"	"N2005120871000180"	"1987"	"yearbooks/N2005120871000180.caj"	"yearbooks/N2005120871000180.pdf"	"yearbooks/N2005120871000180.xls"	"187"
"十二、我国主要农业指标与国外对比"	"十二、我国主要农业指标与国外对比"	"337-350"	"N2005120871000181"	"1987"	"yearbooks/N2005120871000181.caj"	"yearbooks/N2005120871000181.pdf"		"188"
"总人口、农业人口"	"十二、我国主要农业指标与国外对比"	"339"	"N2005120871000182"	"1987"	"yearbooks/N2005120871000182.caj"	"yearbooks/N2005120871000182.pdf"	"yearbooks/N2005120871000182.xls"	"189"
"土地利用"	"十二、我国主要农业指标与国外对比"	"340"	"N2005120871000183"	"1987"	"yearbooks/N2005120871000183.caj"	"yearbooks/N2005120871000183.pdf"		"190"
"粮食面积、产量与单产"	"十二、我国主要农业指标与国外对比"	"341"	"N2005120871000184"	"1987"	"yearbooks/N2005120871000184.caj"	"yearbooks/N2005120871000184.pdf"	"yearbooks/N2005120871000184.xls"	"191"
"棉花面积、产量与单产"	"十二、我国主要农业指标与国外对比"	"342"	"N2005120871000185"	"1987"	"yearbooks/N2005120871000185.caj"	"yearbooks/N2005120871000185.pdf"	"yearbooks/N2005120871000185.xls"	"192"
"油菜籽面积、产量与单产"	"十二、我国主要农业指标与国外对比"	"343"	"N2005120871000186"	"1987"	"yearbooks/N2005120871000186.caj"	"yearbooks/N2005120871000186.pdf"	"yearbooks/N2005120871000186.xls"	"193"
"猪的头数与胴体重"	"十二、我国主要农业指标与国外对比"	"344"	"N2005120871000187"	"1987"	"yearbooks/N2005120871000187.caj"	"yearbooks/N2005120871000187.pdf"	"yearbooks/N2005120871000187.xls"	"194"
"羊的只数和胴体重"	"十二、我国主要农业指标与国外对比"	"345"	"N2005120871000188"	"1987"	"yearbooks/N2005120871000188.caj"	"yearbooks/N2005120871000188.pdf"		"195"
"肉类产量"	"十二、我国主要农业指标与国外对比"	"346"	"N2005120871000189"	"1987"	"yearbooks/N2005120871000189.caj"	"yearbooks/N2005120871000189.pdf"		"196"
"鸡蛋产量"	"十二、我国主要农业指标与国外对比"	"347"	"N2005120871000190"	"1987"	"yearbooks/N2005120871000190.caj"	"yearbooks/N2005120871000190.pdf"	"yearbooks/N2005120871000190.xls"	"197"
"牛奶产量"	"十二、我国主要农业指标与国外对比"	"348"	"N2005120871000191"	"1987"	"yearbooks/N2005120871000191.caj"	"yearbooks/N2005120871000191.pdf"		"198"
"水果产量"	"十二、我国主要农业指标与国外对比"	"349"	"N2005120871000192"	"1987"	"yearbooks/N2005120871000192.caj"	"yearbooks/N2005120871000192.pdf"	"yearbooks/N2005120871000192.xls"	"199"
"渔获量"	"十二、我国主要农业指标与国外对比"	"350"	"N2005120871000193"	"1987"	"yearbooks/N2005120871000193.caj"	"yearbooks/N2005120871000193.pdf"	"yearbooks/N2005120871000193.xls"	"200"
"附录："	"附录："	"351-359"	"N2005120871000194"	"1987"	"yearbooks/N2005120871000194.caj"	"yearbooks/N2005120871000194.pdf"		"201"
"台湾省主要农业统计资料"	"附录："	"353-354"	"N2005120871000195"	"1987"	"yearbooks/N2005120871000195.caj"	"yearbooks/N2005120871000195.pdf"		"202"
"主要统计指标解释"	"附录："	"355-359"	"N2005120871000196"	"1987"	"yearbooks/N2005120871000196.caj"	"yearbooks/N2005120871000196.pdf"		"203"
"前言"	"前言"	"P4"	"N2005120871000197"	"1987"	"yearbooks/N2005120871000197.caj"	"yearbooks/N2005120871000197.pdf"		"1"
"分部门农业物质消耗、净产值及构成"	"二、农村社会总产值"	"33"	"N2005120871000198"	"1987"	"yearbooks/N2005120871000198.caj"	"yearbooks/N2005120871000198.pdf"	"yearbooks/N2005120871000198.xls"	"28"
"分经济地带畜严品产量、牲畜饲养情况"	"三、主要农产品和乡村企业主要工业产品生产情况"	"102"	"N2005120871000199"	"1987"	"yearbooks/N2005120871000199.caj"	"yearbooks/N2005120871000199.pdf"	"yearbooks/N2005120871000199.xls"	"60"
"乡村两级企业主要财务指标"	"六、农村经济收入及分配"	"170"	"N2005120871000200"	"1987"	"yearbooks/N2005120871000200.caj"	"yearbooks/N2005120871000200.pdf"	"yearbooks/N2005120871000200.xls"	"90"
"各地区农业机械、农电、化肥利用和农田灌溉情况"	"八、农村生产条件"	"231-234"	"N2005120871000201"	"1987"	"yearbooks/N2005120871000201.caj"	"yearbooks/N2005120871000201.pdf"	"yearbooks/N2005120871000201.xls"	"121"
"各地区农村社会救济费"	"九、农村文化、教育、卫生、社会福利和其他事业"	"275"	"N2005120871000202"	"1987"	"yearbooks/N2005120871000202.caj"	"yearbooks/N2005120871000202.pdf"	"yearbooks/N2005120871000202.xls"	"153"
