"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"24"		"毒麦是我国规定的进出口检疫对象，应严格执行国家有关检疫规定，防止毒麦进口及在国内蔓延扩散。一旦发现应通过选种、换种、轮作倒茬、耕作防除等方法消除毒麦。对饲养人员传授识别毒麦的知识，不用混杂毒麦的饲料饲喂家畜。一旦发生中毒立即停喂混。"		"有毒杂草。部分地区田块发生数量大。我国小麦种植区时有发生和危害，其子实皮与糊粉层之间有真菌寄生，产生毒麦碱，人畜和家禽食之，均会发生中毒"	"长芒毒麦"		"单子叶植物纲"	"禾本目"	"禾本科"	"黑麦草属"	"Darnel Rye-grass"		"青海，安徽，江苏，江西，贵州，云南"	"被子植物门"	"欧洲"	"一或二年生草本。冬季或翌年春季出苗，花果期4－6月。多混杂于麦类收获物中传播。成株 本变种与毒麦相似，不同处是每小穗常含9－11小花，以9为多，内，外稃先端钝，外稃顶端的芒长达2厘米。子实 同毒麦。幼苗 第1片真叶带状，长7.7厘米，宽2.5毫米，腹面有7条圆锥状隆起的直出平行脉，并被有单毛和星状毛，叶颈明显，叶舌膜质，2裂。第二片真叶有脉9条，叶舌环状。"	"李扬汉，1998. 中国杂草志. p.1270；"	"Lolium temulentum L.var. longiaristatum Parnell"	"PL00024"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/长芒毒麦.jpg"
"25"					"长柔毛野豌豆"		"双子叶植物纲"	"蔷薇目"	"豆科"	"野豌豆属"	"Hairy vetch"		"东北、华北、西北、西南、山东、甘肃、江苏、湖南、广东、云南等省区"	"被子植物门"	"欧洲及中亚伊朗"	"一年或二年生草本，高30-70（100）厘米，全体被淡黄色长柔毛。茎有棱，细弱，分枝。羽状复叶，叶轴粗壮，有棱，卷须分枝；托叶半边箭形，长约8毫米；小叶12-18（20)，长圆形、线状长圆形或线状披针形，长10-28毫米，宽2-4毫米，先端钝而有突尖；小叶柄长约1毫米。总状花序腋生，较叶长或等长，具20-30花；花生于一侧，长15-18毫米；花梗很短，长不及1毫米；萼斜圆筒状，长达8毫米，密被淡黄色长柔毛，萼齿5, 线状披针形，下面3齿较长；花冠紫色或淡红色，稀白色；旗瓣提琴状长圆形，长15-18毫米，先端凹；翼瓣先端圆形，长13-15毫米，有耳及爪；龙骨瓣长10-12毫米，有耳及爪；子房有长柄，无毛，花柱上部被柔毛。荚果长圆形，长23-26毫米，宽约9毫米，两侧扁，淡黄色。种子2-8，小，球状，近黑色。花期5-6月，果期6-7月。"		"Vicia villosa Roth."	"PL00025"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/长柔毛野豌豆.jpg"
"26"			"窄叶车前、欧车前、披针叶车前"	"一般性杂草。部分农田常见，但数量不多，危害不重，是多种作物（甜菜、甘薯、番茄、芫菁、瓜类、烟草、蚕豆）上病毒、害虫及病菌的寄主。"	"长叶车前"	"多年生草本。生于温湿的草地或路边，海边，河边，山坡草地。 春、夏、秋季均见幼苗，花果期4~8月"	"双子叶植物纲"	"菊目"	"车前科"	"车前属"	"Buckhorn Plantain, Ribwort Plantain"		"辽宁，陕西，山东，江苏，浙江，江西，新疆，甘肃，云南及台湾等省"	"被子植物门"	"欧洲、北亚及中亚"	"成株：植株高30-50cm。根状茎短，有较细的须根。根出叶直立或外展，披针形或椭圆状披针形，长5-20cm，宽0.5-3.5cm，有明显的纵脉3-5条，顶端尖全缘或具细锯齿，基部渐狭成柄，叶柄基部有细长毛，两面无毛或稍有毛。花茎少数，四棱形，有柔毛，通常20-40cm；穗状花序圆柱状；2-3.5cm，苞片卵圆形，中央有一具毛的棕色龙骨状突起，前萼裂片卵形，连合，顶端微凹，有2窄突起，后萼裂片卵形，离生；花冠裂片三角状卵形，有一棕色突起；雄蕊远超过花冠。子实：宿果椭圆形，近下部周裂，果内有种子6-10粒，椭圆形，黄褐色至深褐色，长2.2-3.5mm，宽0.8-1.7mm，厚0.4-1.2mm，腹面内凹。幼苗：下胚轴常带红色。子叶狭线形，长50-75mm，宽约1mm，先端钝，基部相互连接成管状的膜质鞘。初生叶长圆形，先端渐尖，基部减狭，成宽长的叶柄，边缘具几个不明显的牙齿，并着生稀疏长毛，主脉明显，并有二条与其近于平行的侧脉。"	"江苏植物研究所，1982. 江苏植物志，江苏科技出版社，（下卷）， pp.779-780； 中国植物志编辑委员会，2002. 中国植物志. 70卷. pp.338-339； 李扬汉，1998. 中国杂草志. p.750"	"Plantaga lanceolata L."	"PL00026"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/长叶车前.jpg"
"27"	"该种在20世纪80年代传入我国。"	"参见波斯婆婆纳。"	"睫毛婆婆纳"	"是欧洲麦田中的一种重要杂草，在明治维新时期传入日本后，在日本西部的麦田中已造成了严重危害。在欧洲，长期使用绿麦隆导致该种数量增加。"	"常春藤婆婆纳"	"越年生或一年生草本，体态与波斯婆婆纳形态相近，但本种叶边缘仅有1~2个粗锯齿，花梗较短。常春藤叶婆婆纳是个复合群，根据染色体倍性的不同，分成三个半隐性种，即Veronica triloba (2=18)、Veronica sublobata (2=36)以及V. hederaefolia (2n=54)。其中六倍体和二倍体种多分布于受人为干扰的环境中，而四倍体种耐荫能力较强，多生长于林下环境中。 喜温性杂草，其6倍体和2倍体种多分布于受人为干扰的环境中，4倍体种耐荫能力强，多生长于林下环境中，也是麦田的重要杂草。"	"双子叶植物纲"	"玄参目"	"玄参科"	"婆婆纳属"	"Speedwell,Ivyleaf Speedweel"		"江苏的南京、浙江的定海"	"被子植物门"	"原产欧洲、北非"	"全株有毛，茎自基部分枝成丛，下部伏地，斜生，全珠被多节长伏毛。茎基部叶对生，上部叶互生。叶宽心形或扁卵形，长7~10mm，宽8~12mm，边缘有粗钝锯齿1~2对，两面疏生柔毛，基部叶有柄，上部叶无柄。花单生叶状苞片的叶腋，苞片互生。花梗长于或等长于苞叶花冠青紫色，雄蕊2，短于花冠，花萼片有睫毛。蒴果球形，宿存花柱长约1mm，内含种子4枚。种子表面有横皱纹，腹面凹入。"	"郭水良，李扬汉, 1996. 新外来杂草—常春藤婆婆纳. 杂草科学. 3: 6-7； 李振宇，解焱，2002. 中国外来入侵种. p.148"	"Veronica hederaefola L."	"PL00027"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/常春藤婆婆纳.jpg"
"28"	"最早于1976年在北京市东北旺药用植物种植场采到标本。"	"开花前拔除。"		"最早于1976年在北京市东北旺药用植物种植场采到标本。近年在中国科学院植物研究所植物园成为繁殖甚快的杂草，有进一步蔓延的趋势。"	"齿裂大戟"	"一年生草本。生于杂草丛、路旁及沟边。花果期7~10月。种子繁殖。"	"双子叶植物纲"	"大戟目"	"大戟科"	"大戟属"	"Toothed Spurge"		"北京"	"被子植物门"	"北美"	"茎单一，上部多分枝，高20~50cm，直径2~5mm，被柔毛或无毛。叶对生，线形至卵形，多变化，长2~7cm，宽5~20mm，先端尖或钝，基部渐狭；边缘全缘、浅裂至波状齿裂，多变化；两面被毛或无毛；叶柄长3~20mm，被柔毛或无毛。总苞叶2~3枚，与茎生叶相同；伞幅2~3；长2~4cm；苞叶数枚，与退化叶混生。花序数枚，聚伞状生于分枝顶部，基部具长1~4mm短柄；总苞钟状，高约3mm，直径约2mm，边缘5裂，裂片三角形，边缘撕裂状；腺体1枚，两唇形，生于总苞侧面，淡黄褐色。雄花数枚，伸出总苞之外；雌花1枚，子房柄与总苞边缘近等长；子房球状，无毛；花柱3，分离；柱头两裂。蒴果扁球状，长约2mm，褐色，表面粗糙，具不规则瘤状突起，腹面具一墨色沟纹。种阜盾状，黄色，无柄。"		"Euphorbia dentata"	"PL00028"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/齿裂大戟.jpg"
"29"		"该种的种子细小，出土萌发，因而深翻播种是有效的防止其向农田扩散的方法之一。也可用化学方法去除臭荠，其敏感性除草剂，有2甲4氯、莠去津、伴地农、阔叶散等，可根据不同作物进行选择使用。"	"臭滨荠，肾果荠"	"20世纪30年代出现在江苏南部。本种种子成熟后，由于鸟类、鼠类及风力等因素的影响而扩展到其他区域。臭荠是麦田、玉米、大豆多种作物的杂草之一，同时也生长于人工草地之中，通过生活力的竞争，消耗养分，影响作物与草坪的生长。"	"臭荠"	"一年生或二年生匍匐草本。生于路旁或荒地，较耐寒，为常见路埂杂草，对农作物危害轻。花期3-4月，果期4-5月。"	"双子叶植物纲"	"白花菜目"	"十字花科"	"臭荠属"	"Swine Wart　cress"		"江苏各地普遍分布，山东、浙江、福建、安徽、台湾、广东、香港、湖南、湖北、河南、云南、江西等省也都有分布"	"被子植物门"	"南美洲"	"全草有臭气，通常铺地生，主茎短而不明显，多分枝，有柔毛。叶为1~2回羽状分裂，裂片线形而尖，两面无毛。总状花序腋生长可达4厘米；花小，白色；花瓣长圆形，有时无；雄蕊2。短角果小球形而扁，直径约2毫米，顶端下凹，表面有粗糙的皱纹，果实成熟时沿中央分离而不开裂，内有种子1个，细小，卵形。"	"傅立国，陈潭清，郎楷永等，2003.中国高等植物. 5卷. 青岛：青岛出版社. Pp.406-407； 李扬汉，1998. 中国杂草志. P.446-447 江苏植物研究所，江苏植物志（下卷），江苏科技出版社，1982：）249~250，图1122"	"Coronopus didymus (L.) J. E. Smith"	"PL00029"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/臭荠.jpg"
"30"					"春飞蓬"	"一年生或多年生草本。路旁,旷野,山坡,林缘及林下普遍生长。花期3—5月。"	"双子叶植物纲"	"菊目"	"菊科"	"飞蓬属"	"Philadelphia fleabane"		"安徽"	"被子植物门"	"北美洲"	"成株高30-90厘米,茎直立,较粗壮,绿色,上部有分枝,全体被开展长硬毛及短硬毛.叶互生;基生叶莲座状,卵形或卵状倒披针形,长5-12厘米,宽2-4厘米,顶端急尖或钝,基部楔形下延成具翅长柄,叶柄基部常带紫红色,两面被倒伏的硬毛,叶缘具粗齿,花期不枯萎,匙形,茎生叶半抱茎;中上部叶披针形或条状线形,长3-6厘米,宽5-16毫米,顶端尖,基部渐狭无柄,边缘有疏齿,被硬毛.头状花系数枚,直径1-1.5厘米,排成伞房或圆锥状花序;总苞半球形,直径6-8毫米;总苞片3层,草质,披针形,长3-5毫米,淡绿色,边缘半透明,中脉褐色,背面被毛;舌状花2层,雌性,舌片线形,长约6毫米,平展,蕾期下垂或倾斜,花期仍斜举,舌状花白色略带粉红色,管状花两性,黄色.瘦果披针形,长约1.5毫米,压扁,被疏柔毛;雌花瘦果冠毛1层,极短而连接成环状膜质小冠;两性花瘦果冠毛2层,外层鳞片状,内层糙毛状,长约2毫米,10-15条."		"Erigeron philadelphicus"	"PL00030"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/春飞蓬.jpg"
"31"					"春黄菊"		"双子叶植物纲"	"菊目"	"菊科"	"春黄菊属"	"Yellow chamomile"		"吉林、辽宁"	"被子植物门"	"欧洲"			"Anthemis tinctoria"	"PL00031"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/春黄菊.jpg"
"32"	"1936年发现于云南勐海。"			"一般性杂草。在幼龄果园、橡胶园及秋收作物（玉米及谷子）田中危害，但发生量小。现已成为云南南部的一种常见杂草，在果园、橡胶园、苗圃及农田中产生一定危害，入侵自然生态系统后，由于缺乏制约因素，数量不断增加。"	"刺苞果"	"一年生草本。生于平坡、河边、沟旁及路边；常在幼龄果园、橡胶园及秋收作物（玉米及谷子）田中危害，但发生量小，危害轻。通常生于海拔350~1900m的旷地、河谷、沟边、路旁，并入侵田园。 花期6~7月，果期8~9月。种子繁殖。"	"双子叶植物纲"	"菊目"	"菊科"	"刺苞果属"	"Paraguary Starbur"	"瘦果具钩状刺，钩附于在动物身体上传播。"	"云南，广西西部"	"被子植物门"	"南美洲"	"高35~55cm，有纺锤状根。茎直立，倾斜或匍匐，中空或具白色髓部，中部以上有两叉状分枝，上部被白色长柔毛。叶长或宽椭圆形或近菱形，长2~4cm，宽1~1.5cm，先端宽尖或钝，中部以上有锯齿，基部楔形，两面及边缘密被刺毛。头状花序小，有短或近无梗。总苞钟形，总苞片2层，外层5个，草质，长圆状披针形，外面及边缘被白色柔毛，内层倒卵状长圆形，基部紧密包裹雌花，顶端具2直刺，长约2mm。雌花1层，5~6个；花冠舌状，舌片小，淡黄色，兜状椭圆形，长1mm，顶端有3齿，基部稍被细毛，上端钟形，有5裂片，具3~4个小腺点。花柱不分裂，顶端稍膨大成棒状。瘦果倒卵状长三角形，长8mm，基部稍狭，顶端截形，有2个不等长的开展的硬刺，周围有钩状的刺。"	"李扬汉，1998. 中国杂草志. p.232-233 李振宇，解焱，2002. 中国外来入侵种. p.154； 中国植物志编辑委员会，1979b. 中国植物志. 75卷. p.333"	"Acanthospermumaustrale（L.）O. Kuntze"	"PL00032"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/刺苞果.jpg"
"33"	"1974年在北京丰台区发现"	"在结果前拔除。"		"生长在榨油厂附近的垃圾上，亦侵入农田，危害白菜、小麦、大豆等旱地作物。"	"刺苍耳"	"一年生草本，常生于路边、荒地和旱作物地。果实具钩刺，常随人和动物传播，或混在作物种子中散布。花期8~9月，果期9~10月。种子繁殖。"	"双子叶植物纲"	"菊目"	"菊科"	"苍耳属"	"Spiny Cocklebur"		"安徽、北京、河南、辽宁、河北"	"被子植物门"	"南美洲；在欧洲中、南部，亚洲和北美归化。"	"高40~120cm。茎直立，上部多分枝，节上具三叉状棘刺。叶狭卵状披针形或阔披针形，长3~8cm，宽6~30mm，边缘3(~5)浅裂或不裂，全缘，中间裂片较长，长渐尖，基部楔形，下延至柄，背面密被灰白色毛；叶柄细，长5~15mm，被绒毛。花单性，雌雄同株。雄花序球状，生于上部，总苞片一层，雄花管状，顶端裂，雄蕊5。雌花序卵形，生于雄花序下部，总苞囊状，长8~14mm，具钩刺，先端具2喙，内有2朵无花冠的花，花柱线形，柱头2深裂。总苞内有2个长椭圆形瘦果。"		"Xanthium spinosum"	"PL00033"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/刺苍耳.jpg"
